objid,l,b,g,r,i,psfMagErr_g,psfMagErr_r,psfMagErr_i
1237662530601288514,357.822270098694,69.2605916562266,22.78935,22.30805,22.12231,0.1531188,0.130976,0.1905323
1237662530601288518,357.91049730436,69.2814292404949,20.70877,19.95079,19.61979,0.03476342,0.0301744,0.02875753
1237662530601288523,357.93145881322,69.2849851088403,22.83663,22.68853,22.75522,0.1569972,0.1825833,0.3249043
1237662530601288528,357.942831761471,69.2841653681319,22.93743,21.99693,21.60503,0.1704649,0.102364,0.1216628
1237662530601288531,357.92421191468,69.2786002924202,21.69579,20.51529,19.26849,0.06292244,0.03731322,0.02483714
1237662530601288791,357.707174760911,69.2610403593412,23.32714,22.6305,22.74225,0.241211,0.1681813,0.3186185
1237662530601288794,357.674584926512,69.2498002266891,23.59926,22.61051,22.45435,0.2984828,0.1641544,0.2498258
1237662530601288798,357.772955219502,69.269114941556,23.20803,22.68152,23.32983,0.2182737,0.1777335,0.4971222
1237662530601288812,357.732491255984,69.2423894830046,23.1194,22.47291,22.79561,0.2015495,0.147743,0.3334275
1237662530601288815,357.655556365024,69.2218224743483,23.61723,22.70578,21.05688,0.2992209,0.1763922,0.07532411
1237662530601288848,357.647664568423,69.194105758929,23.63066,22.67346,22.15624,0.2985767,0.170785,0.1916945
1237662530601287823,357.64014486789,69.2032518617077,17.52329,16.88965,16.68027,0.02244997,0.02381884,0.01834313
1237662530601287897,357.882388929078,69.2795671480783,18.96538,17.97378,17.65074,0.02353218,0.02423836,0.01894323
1237662530601287909,357.662937816046,69.206862833013,19.56717,18.52895,18.17088,0.02516964,0.02468136,0.01965891
1237662530601287917,357.860203537394,69.2474366634883,22.59199,21.94784,21.78629,0.1662223,0.1323557,0.2108326
1237662530601287920,357.885097294403,69.2456527146473,20.12354,19.59861,19.4286,0.02824827,0.02777303,0.02642593
1237662530601287922,357.984513542836,69.2701354859095,19.64357,19.39552,19.3796,0.02542837,0.02685622,0.02586117
1237662530601288035,357.817331277327,69.3141502099672,20.46585,20.17018,20.08659,0.03145923,0.03220373,0.03711013
1237662530601288055,357.887255276007,69.3105657976743,20.93093,20.47649,20.36753,0.03883785,0.03652121,0.04482609
1237662530601288083,357.795506126239,69.2541253469296,20.22861,19.96086,19.92074,0.02915842,0.03009816,0.03364132
1237662530601288085,357.636096938394,69.2136319988745,20.7682,20.38089,20.24073,0.03561663,0.0342253,0.04053806
1237662530601288087,357.77443556888,69.2465176566724,21.9044,21.81065,21.704,0.07428893,0.08620678,0.1321261
1237662530601288091,357.971448174834,69.2822828895267,21.24097,20.87947,20.79122,0.04585115,0.045406,0.06171203
1237662530601288094,357.828114322028,69.2434537640819,20.58443,20.33356,20.20851,0.03306664,0.03427673,0.04032394
1237662530601288369,357.721775308108,69.2863458215461,21.86585,21.17762,20.94045,0.0730214,0.05361778,0.06908361
1237662530601288371,357.663161022087,69.2703825696827,22.81883,21.92643,21.40706,0.1585987,0.09305353,0.1014147
1237662530601288386,357.689576482576,69.2717136482497,21.23732,20.71066,20.55266,0.04691552,0.04042427,0.0511419
1237662530601288417,357.61016102756,69.24444354463,22.20296,21.39042,21.04831,0.09413288,0.06087581,0.0745237
1237662530601288418,357.665209276395,69.2582219383947,22.71544,22.54361,22.37142,0.1446358,0.1551158,0.2326525
1237662530601288422,357.645040932181,69.2512566034074,21.62393,20.79528,20.62621,0.08025392,0.04189368,0.05361149
1237662530601288424,357.650960008826,69.2518834393949,21.61112,21.27078,21.02683,0.05987204,0.05640734,0.0736407
1237662530601288426,357.836771165076,69.2980265277453,22.57,21.91339,21.84851,0.1278698,0.09462896,0.1499059
1237662530601288429,357.651502761474,69.2491928197533,22.72428,22.64151,22.71573,0.1451377,0.1677301,0.3097039
1237662530601288448,357.879656477352,69.2987542209094,22.6758,22.33237,21.90659,0.1386703,0.1345299,0.1579907
1237662530601288461,357.80835358802,69.2763139339184,22.7104,22.54885,23.38994,0.1437895,0.1600409,0.5180652
1237662530601288464,357.941233132273,69.3086332755961,22.39312,22.07777,22.18322,0.108014,0.1091458,0.2000817
1237662530601288481,357.898037761097,69.2930870571928,22.7158,22.59877,22.50859,0.1428043,0.1687137,0.2650909
1237662530601288543,357.969816022073,69.2857045267041,22.95235,21.96784,20.96766,0.1716029,0.1001411,0.07106977
1237662530601288545,357.79980754155,69.2434006679805,22.13212,21.94011,21.98646,0.08872811,0.09693899,0.1712026
1237662530601288549,357.917023219852,69.2716631348607,22.9568,22.54457,22.02058,0.174521,0.1618124,0.1747818
1237662530601288560,357.707644709305,69.2142000271949,22.81257,22.65981,22.44953,0.154659,0.1718152,0.2490125
1237662530601288577,357.985651779218,69.2749517586776,22.88028,22.22511,21.89392,0.1612552,0.1242742,0.1560051
1237662530601288588,357.708831241675,69.2004770232696,22.57972,21.96406,21.51075,0.1267238,0.0962486,0.1108418
1237662530601288762,357.624410770135,69.2633912372212,23.23079,22.61172,23.68887,0.2234099,0.16319,0.602734
1237662530601288912,357.869703881559,69.3276062917227,23.97302,22.92434,22.09528,0.3916999,0.220741,0.1847024
1237662530601287806,357.613522397863,69.2590833877662,17.12562,16.66407,16.51819,0.02235271,0.02378069,0.01830195
1237662531138158889,358.567938905608,69.4524201868735,20.73345,20.43277,20.31626,0.03412798,0.03303119,0.04555671
1237662531138158902,358.552801769021,69.4236557248252,20.72035,20.01094,19.67361,0.03360112,0.02699016,0.03102406
1237662531138159165,358.43409167361,69.4537464458013,21.64781,21.13085,21.13422,0.06037325,0.05137271,0.08597445
1237662531138159167,358.582306414531,69.4884719230438,22.72761,22.23872,22.59373,0.1457851,0.128185,0.299686
1237662530601287924,357.798218310262,69.2184639137803,18.49938,17.90758,17.75119,0.02303467,0.02418502,0.01904061
1237662530601288865,357.940663166708,69.2531178437684,23.49411,22.58091,22.46402,0.2710807,0.1677414,0.2557362
1237662530601353219,357.716339054312,69.1952223411074,15.4562,15.04833,14.97034,0.01665335,0.0211067,0.01901912
1237662530601353223,357.965486796899,69.2540498376043,17.84415,17.43133,17.34729,0.01721612,0.02143226,0.01956467
1237662530601353225,357.828418316868,69.203524606331,17.57964,16.97266,16.81372,0.01707165,0.02129472,0.01929821
1237662530601353230,357.615667977273,69.131211443518,17.20669,16.59314,16.25701,0.01700176,0.02162817,0.02189279
1237662530601353235,357.815364688333,69.1808876869467,16.99073,16.19728,15.94285,0.01686045,0.02117651,0.01910204
1237662530601353249,357.684615261186,69.1429759752066,17.44001,17.09116,16.94445,0.0169999,0.02131355,0.01933591
1237662530601353252,357.757503861131,69.1481915547217,16.75678,16.04889,15.78588,0.01805797,0.02296815,0.02079552
1237662530601353253,357.75968121089,69.1449770598847,17.07966,16.37531,16.1302,0.01688213,0.02119465,0.01912834
1237662530601353272,357.859660738031,69.2267975860745,19.63976,19.13575,19.0092,0.02092508,0.02352282,0.02357645
1237662530601353302,357.656127588619,69.1159196985003,19.05164,18.86428,18.72913,0.01873737,0.0227395,0.02201258
1237662530601353307,357.884932138274,69.1695211631966,18.28299,17.32822,16.98152,0.01757795,0.0214033,0.01943063
1237662530601353308,357.883783058617,69.1702427272481,22.76281,21.95322,20.23297,0.2361186,0.1975412,0.09720302
1237662530601353311,358.110480538416,69.2246646887988,19.83064,19.13555,18.86557,0.02158355,0.02366209,0.0228354
1237662530601353315,357.778974985059,69.1417831557636,18.4451,17.85903,17.63379,0.01774951,0.0216396,0.01978809
1237662530601353702,357.765976736514,69.1311358120619,21.91026,21.79771,21.41452,0.07089069,0.08483656,0.1004658
